南湾街道南岭村富源居小区电动车乱停乱放，堵消防通道，特别是晚上完全路，消防通道可是生命通道，消防车的通道如何保障，物业不作为，望督促物业整改,0
所在位置为大朗镇金朗南路，可以看出机动车和非机动车的标牌非常明显，但是电动车总是来和机动车挤，出了事故算谁的，电动车主就是知道没有电子抓拍设备所以敢这样走，所以为了杜绝安全隐患，大朗交警大队看什么时候能安装电子抓拍设备或者有其他更好的方法,1
深圳市宝安区沙井镇松福大道沙井北高速站出入口路段，电动车走机动车道问题严重，非法改装电动车速度很快横穿车流之间，尤其是送外卖电动车，拉客电动车，无牌照电动车走机动车问题严重，疏于防范意识，必须对这种行为加以严重打击，所以对于屡教不改者必须一次重罚,0
这里有闻名中外的六榕寺，游客多。电动车自行车二十四小时逆行，好几次造成行人的受伤。望领导重视！,0
禅城区黎明一路世博嘉园小区，小区物业与居委长期管理不善，每天都有大量电动车自由进出，停放在各楼层大堂出入口附近（特别是下班后到次日早上）。大堂基本没有消防设施，且小区内树木较多。随着天气炎热夜间一旦起火，居民疏散困难，波及范围大。希望能杜绝电动车进入小区的难题。,1
深圳市宝安区沙井镇松福大道沙井北高速站出入口路段，电动车走机动车道问题严重，非法改装电动车速度很快横穿车流之间，尤其是送外卖电动车，拉客电动车，无牌照电动车走机动车问题严重，疏于防范意识，必须对这种行为加以严重打击，所以对于屡教不改者必须一次重罚,1
江城区吉祥西路8号网吧两边被设置共享电动车停放区域，导致两边居民楼出入路口长期被共享电动车阻塞，严重影响市民生活。,0
我是一名长期生活在海珠区的市民。就中大轻纺城及中山大学校园周边的电动自行车违规乱象，提出正式投诉。 目前，在中大轻纺城及中大校园附近区域，电动车的违规行为已经到了令人发指的地步。大量电动车不仅抢占非机动车道，更常常霸占一条甚至两条机动车道，有的甚至在最左侧车道上穿梭，与汽车抢道，造成了极大的交通安全隐患和道路拥堵。本应是行人专属安全通道的人行道，如今却成了电动车的“高速公路”。它们在上面随意穿行、高速飞驰，完全不顾及行人的安危。更有甚者，为了追求速度，私自改装车辆，安装并使用刺眼的巨亮远光灯，夜间骑行时严重影响对向行人和驾驶员的视线，无异于“移动的危险源”，请领导协调解决,0
尊敬的领导您好，广州市天河区 石牌桥 万菱汇 太古汇 岗顶 壬丰大厦 中山三院 天娱广场 附近，有很多违规电动车，包括无牌，假牌，遮挡号码，超标改装，走机动车道，闯红灯，希望相关部门领导能帮忙从严处理一下。,0
深圳市宝安区石岩街道应人石清雅苑后门地下停车场斜坡处，近100辆电动车长期违规乱停放。 影响： 1、导致双车道变单车道； 2、因临近幼儿园，上下学期间人车混杂，不仅影响住户正常通行，还存在严重交通安全隐患。 3、发生火灾严重影响消防车通行救援。,1
所在位置为黄江镇公常路北岸路段，非机动车道那么宽的地方不走，非要来机动车道挤，不碰着好说，碰着了这算谁的责任呢，交警大队是否可以考虑增加电子抓拍设备，为了长远打算，请交警部门能够尽快实施为好或者有更好的解决办法,1
目前生活在宝体附近，行人和机动车肆意闯红灯，不仅是外卖小哥，普通的电动车和自行车很多人也完全无视红绿灯的存在，这给机动车行驶带来了巨大的麻烦，盼解决,1
